Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.568E-12,0.000000001,0.000000004,0.999800658,0,0
2.11392E-11,0.000000004,0.000000011,0.999601316,0,0
7.45595E-11,0.000000012,0.000000039,0.999501645,0,0
9.07077E-11,0.000000029,0.000000047,0.999302302,0,0
2.05552E-10,0.000000107,0.000000107,0.998803947,0,0
2.96096E-10,0.000000272,0.000000154,0.99820592,0,0
4.34338E-10,0.000001036,0.000000226,0.996112828,0,0
6.31638E-10,0.000002507,0.000000328,0.993421708,0,0
1.24081E-9,0.000010066,0.000000645,0.98534835,0,0
2.02804E-9,0.000025001,0.000001054,0.975979268,0,0
2.98534E-9,0.000050107,0.000001552,0.965713147,0,0
4.66766E-9,0.000100237,0.000002426,0.952556563,0,0
8.46679E-9,0.000250075,0.000004401,0.9293332,0,0
1.36191E-8,0.000500741,0.00000708,0.906608193,0,0
2.13222E-8,0.001001305,0.000011084,0.878002591,0,0
4.21828E-8,0.002500217,0.000021928,0.830459484,0,0
7.46701E-8,0.005000957,0.000038816,0.786803548,0,0
1.26723E-7,0.010000903,0.000065874,0.736270308,0,0
2.64353E-7,0.025005171,0.000137414,0.657928835,0,0
4.60215E-7,0.050028908,0.000239213,0.588258746,0,0
8.48444E-7,0.100029015,0.000440964,0.509917273,0,0
1.54166E-6,0.200038322,0.000801105,0.424299811,0,0
2.33398E-6,0.300180581,0.00121258,0.371773149,0,0
3.20177E-6,0.400175276,0.001663049,0.335393202,0,0
4.02644E-6,0.500069812,0.002090945,0.30758497,0,0
4.83439E-6,0.600071744,0.002509989,0.284959633,0,0
5.83312E-6,0.700190413,0.003027739,0.266121798,0,0
6.27763E-6,0.750411501,0.003258094,0.257849098,0,0
6.88683E-6,0.800416464,0.0035737,0.250274095,0,0
8.16552E-6,0.900629277,0.004235829,0.237017841,0,0
9.22168E-6,1.000398859,0.004782398,0.225655337,0,0
1.06158E-5,1.100424898,0.005503377,0.215588558,0,0
1.18457E-5,1.200040158,0.006139025,0.206717831,0,0
1.32176E-5,1.300267232,0.006847565,0.198744144,0,0
1.4725E-5,1.401251786,0.007625524,0.191567826,0,0
1.62241E-5,1.50013148,0.008398576,0.185188877,0,0
2.00444E-5,1.751778429,0.010365938,0.171334596,0,0
2.3865E-5,2.000623672,0.012329527,0.159972092,0,0
2.85724E-5,2.250042614,0.014743554,0.150503339,0,0
3.33885E-5,2.502543065,0.017207169,0.14233031,0,0
3.84472E-5,2.753266189,0.019788301,0.135353334,0,0
4.24563E-5,3.002849323,0.021829013,0.129173727,0,0
